IATA	ID	Name	City	Country	ICAO
COE	9189	Coeur D'Alene - Pappy Boyington Field	Coeur d'Alene	United States	KCOE
COF	3623	Patrick Air Force Base	Coco Beach	United States	KCOF
COG	7362	Mandinga Airport	Condoto	Colombia	SKCD
COH	3044	Cooch Behar Airport	Cooch-behar	India	VECO
COJ	9193	Coonabarabran Airport	Coonabarabran	Australia	YCBB
COK	3136	Cochin International Airport	Kochi	India	VOCI
CON	4268	Concord Municipal Airport	Concord NH	United States	KCON
COO	245	Cadjehoun Airport	Cotonou	Benin	DBBB
COQ	6795	Choibalsan Airport	Choibalsan	Mongolia	ZMCD
COR	2443	Ingeniero Ambrosio Taravella Airport	Cordoba	Argentina	SACO
COS	3819	City of Colorado Springs Municipal Airport	Colorado Springs	United States	KCOS
COT	3844	Cotulla-La Salle County Airport	Cotulla	United States	KCOT
COU	3719	Columbia Regional Airport	Columbia	United States	KCOU
COX	5856	Congo Town Airport	Andros	Bahamas	MYAK
COZ	7301	Constanza - Expedici??n 14 de Junio National Airport	Constanza	Dominican Republic	MDCZ
CPA	7429	Cape Palmas Airport	Greenville	Liberia	GLCP
CPB	8234	Capurgan?í Airport	Capurgana	Colombia	SKCA
CPC	2517	Aviador C. Campos Airport	San Martin Des Andes	Argentina	SAZY
CPD	6253	Coober Pedy Airport	Coober Pedy	Australia	YCBP
CPE	1795	Ingeniero Alberto Acu??a Ongay International Airport	Campeche	Mexico	MMCP
CPH	609	Copenhagen Kastrup Airport	Copenhagen	Denmark	EKCH
CPO	4312	Chamonate Airport	Copiapo	Chile	SCHA
CPQ	7125	Amarais Airport	Campinas	Brazil	SDAM
CPR	3872	Casper-Natrona County International Airport	Casper	United States	KCPR
CPT	797	Cape Town International Airport	Cape Town	South Africa	FACT
CPV	2577	Presidente Jo?úo Suassuna Airport	Campina Grande	Brazil	SBKG
CPX	6814	Benjamin Rivera Noriega Airport	Culebra Island	Puerto Rico	TJCP
CQD	6759	Shahrekord Airport	Shahre Kord	Iran	OIFS
CQF	1254	Calais-Dunkerque Airport	Calais	France	LFAC
CQM	7489	Ciudad Real Central Airport	Ciudad Real	Spain	LERL
CQW	9806	Cheraw Municipal Airport/Lynch Bellinger Field	Cheraw	United States	KCQW
CRA	1654	Craiova Airport	Craiova	Romania	LRCV
CRC	6049	Santa Ana Airport	Cartago	Colombia	SKGO
CRD	2487	General E. Mosconi Airport	Comodoro Rivadavia	Argentina	SAVC
CRE	8604	Grand Strand Airport	North Myrtle Beach	United States	KCRE
CRG	11826	Jacksonville Executive at Craig Airport	Jacksonville	United States	KCRG
CRI	5859	Colonel Hill Airport	Colonel Hill	Bahamas	MYCI
CRK	4140	Clark International Airport	Angeles City	Philippines	RPLC
CRL	304	Brussels South Charleroi Airport	Charleroi	Belgium	EBCI
CRM	6024	Catarman National Airport	Catarman	Philippines	RPVF
CRP	3744	Corpus Christi International Airport	Corpus Christi	United States	KCRP
CRQ	2546	Caravelas Airport	Caravelas	Brazil	SBCV
CRV	1500	Crotone Airport	Crotone	Italy	LIBC
CRW	4285	Yeager Airport	Charleston	United States	KCRW
CRZ	2978	Turkmenabat Airport	Chardzhou	Turkmenistan	UTAV
CSA	7492	Colonsay Airstrip	Colonsay	United Kingdom	EGEY
CSB	1653	Caransebe?ƒ Airport	Caransebes	Romania	LRCS
CSC	7343	Codela Airport	Guapiles	Costa Rica	MRCA
CSF	1381	Creil Air Base	Creil	France	LFPC
CSG	4255	Columbus Metropolitan Airport	Columbus	United States	KCSG
CSH	6110	Solovki Airport	Solovetsky Islands	Russia	ULAS
CSK	1082	Cap Skirring Airport	Cap Skiring	Senegal	GOGS
